x ,	 y, 	 r 
48 , 66 , 221983157.8125
49 , 66 , 623666967.1875
50 , 66 , 623666967.1875
51 , 66 , 623666967.1875
52 , 66 , 169130025.0
48 , 67 , 623666967.1875
49 , 67 , 940785764.0625
50 , 67 , 1173339548.4375
51 , 67 , 1173339548.4375
52 , 67 , 274836290.625
48 , 68 , 623666967.1875
49 , 68 , 1173339548.4375
50 , 68 , 1321328320.3125
51 , 68 , 1384752079.6875
52 , 68 , 42282506.25
48 , 69 , 623666967.1875
49 , 69 , 1173339548.4375
50 , 69 , 1384752079.6875
51 , 69 , 1363610826.5625
48 , 70 , 169130025.0
49 , 70 , 274836290.625
50 , 70 , 42282506.25
312 , 70 , 169130025.0
313 , 70 , 623666967.1875
314 , 70 , 623666967.1875
315 , 70 , 623666967.1875
316 , 70 , 221983157.8125
312 , 71 , 274836290.625
313 , 71 , 1173339548.4375
314 , 71 , 1173339548.4375
315 , 71 , 940785764.0625
316 , 71 , 623666967.1875
312 , 72 , 42282506.25
313 , 72 , 1384752079.6875
314 , 72 , 1321328320.3125
315 , 72 , 1173339548.4375
316 , 72 , 623666967.1875
313 , 73 , 1363610826.5625
314 , 73 , 1384752079.6875
315 , 73 , 1173339548.4375
316 , 73 , 623666967.1875
314 , 74 , 42282506.25
315 , 74 , 274836290.625
316 , 74 , 169130025.0
184 , 197 , 887932631.25
183 , 198 , 3171187968.75
184 , 198 , 3551730525.0
185 , 198 , 3171187968.75
183 , 199 , 5084471376.5625
184 , 199 , 9312722001.5625
185 , 199 , 5084471376.5625
182 , 200 , 1363610826.5625
183 , 200 , 8192235585.9375
184 , 200 , 12420486210.9375
185 , 200 , 8192235585.9375
186 , 200 , 1363610826.5625
180 , 201 , 3171187968.75
181 , 201 , 5084471376.5625
182 , 201 , 8192235585.9375
183 , 201 , 13149859443.75
184 , 201 , 22198315781.25
185 , 201 , 13149859443.75
186 , 201 , 8192235585.9375
187 , 201 , 5084471376.5625
188 , 201 , 3171187968.75
179 , 202 , 887932631.25
180 , 202 , 3551730525.0
181 , 202 , 9312722001.5625
182 , 202 , 12420486210.9375
183 , 202 , 22198315781.25
184 , 202 , 22198315781.25
185 , 202 , 22198315781.25
186 , 202 , 12420486210.9375
187 , 202 , 9312722001.5625
188 , 202 , 3551730525.0
189 , 202 , 887932631.25
180 , 203 , 3171187968.75
181 , 203 , 5084471376.5625
182 , 203 , 8192235585.9375
183 , 203 , 13149859443.75
184 , 203 , 22198315781.25
185 , 203 , 13149859443.75
186 , 203 , 8192235585.9375
187 , 203 , 5084471376.5625
188 , 203 , 3171187968.75
182 , 204 , 1363610826.5625
183 , 204 , 8192235585.9375
184 , 204 , 12420486210.9375
185 , 204 , 8192235585.9375
186 , 204 , 1363610826.5625
183 , 205 , 5084471376.5625
184 , 205 , 9312722001.5625
185 , 205 , 5084471376.5625
183 , 206 , 3171187968.75
184 , 206 , 3551730525.0
185 , 206 , 3171187968.75
184 , 207 , 887932631.25
119 , 262 , 676520100.0
120 , 262 , 1437605212.5
121 , 262 , 2906922304.6875
122 , 262 , 4006267467.1875
123 , 262 , 4767352579.6875
124 , 262 , 6490364709.375
125 , 262 , 6490364709.375
126 , 262 , 4873058845.3125
127 , 262 , 3498877392.1875
128 , 262 , 1786435889.0625
129 , 262 , 803367618.75
239 , 262 , 803367618.75
240 , 262 , 1786435889.0625
241 , 262 , 3498877392.1875
242 , 262 , 4873058845.3125
243 , 262 , 6490364709.375
244 , 262 , 6490364709.375
245 , 262 , 4767352579.6875
246 , 262 , 4006267467.1875
247 , 262 , 2906922304.6875
248 , 262 , 1437605212.5
249 , 262 , 676520100.0
47 , 263 , 433395689.0625
48 , 263 , 887932631.25
49 , 263 , 1321328320.3125
50 , 263 , 1733582756.25
51 , 263 , 940785764.0625
119 , 263 , 803367618.75
120 , 263 , 2114125312.5
121 , 263 , 4555940048.4375
122 , 263 , 6543217842.1875
123 , 263 , 5930121501.5625
124 , 263 , 7410009220.3125
125 , 263 , 5285313281.25
126 , 263 , 3498877392.1875
127 , 263 , 1786435889.0625
128 , 263 , 803367618.75
240 , 263 , 803367618.75
241 , 263 , 1786435889.0625
242 , 263 , 3498877392.1875
243 , 263 , 5285313281.25
244 , 263 , 7410009220.3125
245 , 263 , 5930121501.5625
246 , 263 , 6543217842.1875
247 , 263 , 4555940048.4375
248 , 263 , 2114125312.5
249 , 263 , 803367618.75
322 , 263 , 940785764.0625
323 , 263 , 1733582756.25
324 , 263 , 1321328320.3125
325 , 263 , 887932631.25
326 , 263 , 433395689.0625
47 , 264 , 887932631.25
48 , 264 , 1733582756.25
49 , 264 , 2494667868.75
50 , 264 , 3171187968.75
51 , 264 , 1363610826.5625
117 , 264 , 1321328320.3125
118 , 264 , 1363610826.5625
119 , 264 , 5084471376.5625
120 , 264 , 7600280498.4375
121 , 264 , 11373994181.25
122 , 264 , 11363423554.6875
123 , 264 , 11722824857.8125
124 , 264 , 10454349670.3125
125 , 264 , 7600280498.4375
126 , 264 , 3213470475.0
127 , 264 , 1120486415.625
241 , 264 , 1120486415.625
242 , 264 , 3213470475.0
243 , 264 , 7600280498.4375
244 , 264 , 10454349670.3125
245 , 264 , 11722824857.8125
246 , 264 , 11363423554.6875
247 , 264 , 11373994181.25
248 , 264 , 7600280498.4375
249 , 264 , 5084471376.5625
250 , 264 , 1363610826.5625
251 , 264 , 1321328320.3125
322 , 264 , 1363610826.5625
323 , 264 , 3171187968.75
324 , 264 , 2494667868.75
325 , 264 , 1733582756.25
326 , 264 , 887932631.25
47 , 265 , 887932631.25
48 , 265 , 1733582756.25
49 , 265 , 2494667868.75
50 , 265 , 3171187968.75
51 , 265 , 1363610826.5625
116 , 265 , 1120486415.625
117 , 265 , 3498877392.1875
118 , 265 , 6078110273.4375
119 , 265 , 8572778142.1875
120 , 265 , 11363423554.6875
121 , 265 , 11373994181.25
122 , 265 , 11363423554.6875
123 , 265 , 8572778142.1875
124 , 265 , 6078110273.4375
125 , 265 , 3498877392.1875
126 , 265 , 1120486415.625
242 , 265 , 1120486415.625
243 , 265 , 3498877392.1875
244 , 265 , 6078110273.4375
245 , 265 , 8572778142.1875
246 , 265 , 11363423554.6875
247 , 265 , 11373994181.25
248 , 265 , 11363423554.6875
249 , 265 , 8572778142.1875
250 , 265 , 6078110273.4375
251 , 265 , 3498877392.1875
252 , 265 , 1120486415.625
322 , 265 , 1363610826.5625
323 , 265 , 3171187968.75
324 , 265 , 2494667868.75
325 , 265 , 1733582756.25
326 , 265 , 887932631.25
47 , 266 , 887932631.25
48 , 266 , 1733582756.25
49 , 266 , 2494667868.75
50 , 266 , 3171187968.75
51 , 266 , 1363610826.5625
115 , 266 , 1120486415.625
116 , 266 , 3213470475.0
117 , 266 , 7600280498.4375
118 , 266 , 10454349670.3125
119 , 266 , 11722824857.8125
120 , 266 , 11363423554.6875
121 , 266 , 11373994181.25
122 , 266 , 7600280498.4375
123 , 266 , 5084471376.5625
124 , 266 , 1363610826.5625
125 , 266 , 1321328320.3125
243 , 266 , 1321328320.3125
244 , 266 , 1363610826.5625
245 , 266 , 5084471376.5625
246 , 266 , 7600280498.4375
247 , 266 , 11373994181.25
248 , 266 , 11363423554.6875
249 , 266 , 11722824857.8125
250 , 266 , 10454349670.3125
251 , 266 , 7600280498.4375
252 , 266 , 3213470475.0
253 , 266 , 1120486415.625
322 , 266 , 1363610826.5625
323 , 266 , 3171187968.75
324 , 266 , 2494667868.75
325 , 266 , 1733582756.25
326 , 266 , 887932631.25
47 , 267 , 433395689.0625
48 , 267 , 887932631.25
49 , 267 , 1321328320.3125
50 , 267 , 1733582756.25
51 , 267 , 940785764.0625
114 , 267 , 803367618.75
115 , 267 , 1786435889.0625
116 , 267 , 3498877392.1875
117 , 267 , 5285313281.25
118 , 267 , 7410009220.3125
119 , 267 , 5930121501.5625
120 , 267 , 6543217842.1875
121 , 267 , 4555940048.4375
122 , 267 , 2114125312.5
123 , 267 , 803367618.75
245 , 267 , 803367618.75
246 , 267 , 2114125312.5
247 , 267 , 4555940048.4375
248 , 267 , 6543217842.1875
249 , 267 , 5930121501.5625
250 , 267 , 7410009220.3125
251 , 267 , 5285313281.25
252 , 267 , 3498877392.1875
253 , 267 , 1786435889.0625
254 , 267 , 803367618.75
322 , 267 , 940785764.0625
323 , 267 , 1733582756.25
324 , 267 , 1321328320.3125
325 , 267 , 887932631.25
326 , 267 , 433395689.0625
113 , 268 , 803367618.75
114 , 268 , 1786435889.0625
115 , 268 , 3498877392.1875
116 , 268 , 4873058845.3125
117 , 268 , 6490364709.375
118 , 268 , 6490364709.375
119 , 268 , 4767352579.6875
120 , 268 , 4006267467.1875
121 , 268 , 2906922304.6875
122 , 268 , 1437605212.5
123 , 268 , 676520100.0
245 , 268 , 676520100.0
246 , 268 , 1437605212.5
247 , 268 , 2906922304.6875
248 , 268 , 4006267467.1875
249 , 268 , 4767352579.6875
250 , 268 , 6490364709.375
251 , 268 , 6490364709.375
252 , 268 , 4873058845.3125
253 , 268 , 3498877392.1875
254 , 268 , 1786435889.0625
255 , 268 , 803367618.75
47 , 335 , 169130025.0
48 , 335 , 274836290.625
49 , 335 , 42282506.25
47 , 336 , 623666967.1875
48 , 336 , 1173339548.4375
49 , 336 , 1384752079.6875
50 , 336 , 1363610826.5625
47 , 337 , 623666967.1875
48 , 337 , 1173339548.4375
49 , 337 , 1321328320.3125
50 , 337 , 1384752079.6875
51 , 337 , 42282506.25
47 , 338 , 623666967.1875
48 , 338 , 940785764.0625
49 , 338 , 1173339548.4375
50 , 338 , 1173339548.4375
51 , 338 , 274836290.625
47 , 339 , 221983157.8125
48 , 339 , 623666967.1875
49 , 339 , 623666967.1875
50 , 339 , 623666967.1875
51 , 339 , 169130025.0
331 , 347 , 42282506.25
332 , 347 , 274836290.625
333 , 347 , 169130025.0
330 , 348 , 1363610826.5625
331 , 348 , 1384752079.6875
332 , 348 , 1173339548.4375
333 , 348 , 623666967.1875
329 , 349 , 42282506.25
330 , 349 , 1384752079.6875
331 , 349 , 1321328320.3125
332 , 349 , 1173339548.4375
333 , 349 , 623666967.1875
329 , 350 , 274836290.625
330 , 350 , 1173339548.4375
331 , 350 , 1173339548.4375
332 , 350 , 940785764.0625
333 , 350 , 623666967.1875
329 , 351 , 169130025.0
330 , 351 , 623666967.1875
331 , 351 , 623666967.1875
332 , 351 , 623666967.1875
333 , 351 , 221983157.8125
